frame,event,classification,raw_horizontal,raw_offset,related,screen_x,screen_x_copy,normalized
3422,,ARM_CENTERED,0.0,-2.0,-1.9020617008209,160.0,160.0,0.0
3424,,ARM_CENTERED,0.0,-2.0,-1.9070137739182,160.0,160.0,0.0
3427,,ARM_CENTERED,0.0,-2.0,-1.9102578163147,160.0,160.0,0.0
3429,,ARM_CENTERED,0.0,-2.0,-1.9135295152664,160.0,160.0,0.0
3431,,ARM_CENTERED,0.0,-2.0,-1.9168280363083,160.0,160.0,0.0
3433,,ARM_CENTERED,0.0,-2.0,-1.9201527833939,160.0,160.0,0.0
3435,,ARM_CENTERED,0.0,-2.0,-1.9235028028488,160.0,160.0,0.0
3438,,ARM_CENTERED,0.0,-2.0,-1.9268774986267,160.0,160.0,0.0
3440,,ARM_CENTERED,0.0,-2.0,-1.9302757978439,160.0,160.0,0.0
3442,,ARM_CENTERED,0.0,-2.0,-1.9336968660355,160.0,160.0,0.0
3444,,ARM_CENTERED,0.0,-2.0,-1.9371393918991,160.0,160.0,0.0
3447,,ARM_CENTERED,0.0,-2.0,-1.9406027793884,160.0,160.0,0.0
3449,,ARM_CENTERED,0.0,-2.0,-1.9440853595734,160.0,160.0,0.0
3451,,ARM_CENTERED,0.0,-2.0,-1.9475862979889,160.0,160.0,0.0
3453,,ARM_CENTERED,0.0,-2.0,-1.9511044025421,160.0,160.0,0.0
3456,,ARM_CENTERED,0.0,-2.0,-1.9565107822418,160.0,160.0,0.0
3458,,ARM_CENTERED,0.0,-2.0,-1.9600390195847,160.0,160.0,0.0
3460,,ARM_CENTERED,0.0,-2.0,-1.9635827541351,160.0,160.0,0.0
3462,,ARM_CENTERED,0.0,-2.0,-1.9671404361725,160.0,160.0,0.0
3465,,ARM_CENTERED,0.0,-2.0,-1.9707106351852,160.0,160.0,0.0
3467,,ARM_CENTERED,0.0,-2.0,-1.9742916822433,160.0,160.0,0.0
3469,,ARM_CENTERED,0.0,-2.0,-1.9778821468353,160.0,160.0,0.0
3471,,ARM_CENTERED,0.0,-2.0,-1.9814801216125,160.0,160.0,0.0
3473,,ARM_CENTERED,0.0,-2.0,-1.9850844144821,160.0,160.0,0.0
3476,,ARM_CENTERED,0.0,-2.0,-1.9886937141418,160.0,160.0,0.0
3478,,ARM_CENTERED,0.0,-2.0,-1.9923062324524,160.0,160.0,0.0
3480,,ARM_CENTERED,0.0,-2.0,-1.9959203004837,160.0,160.0,0.0
3482,,ARM_CENTERED,0.0,-2.0,-1.9995344877243,160.0,160.0,0.0
3485,,ARM_CENTERED,0.0,-2.0,-2.0031473636627,160.0,160.0,0.0
3487,,ARM_CENTERED,0.0,-2.0,-2.0067577362061,160.0,160.0,0.0
3489,,ARM_CENTERED,0.0,-2.0,-2.0103635787964,160.0,160.0,0.0
3492,,ARM_CENTERED,0.0,-2.0,-2.0158746242523,160.0,160.0,0.0
3494,,ARM_CENTERED,0.0,-2.0,-2.0194599628448,160.0,160.0,0.0
3496,,ARM_CENTERED,0.0,-2.0,-2.0230484008789,160.0,160.0,0.0
3498,,ARM_CENTERED,0.0,-2.0,-2.0266363620758,160.0,160.0,0.0
3501,,ARM_CENTERED,0.0,-2.0,-2.0302217006683,160.0,160.0,0.0
3503,,ARM_CENTERED,0.0,-2.0,-2.0338017940521,160.0,160.0,0.0
3505,,ARM_CENTERED,0.0,-2.0,-2.0373737812042,160.0,160.0,0.0
3507,,ARM_CENTERED,0.0,-2.0,-2.0409355163574,160.0,160.0,0.0
3509,,ARM_CENTERED,0.0,-2.0,-2.0444841384888,160.0,160.0,0.0
3512,,ARM_CENTERED,0.0,-2.0,-2.0557219982147,160.0,160.0,0.0
3514,,ARM_CENTERED,0.0,-2.0,-2.0928585529327,160.0,160.0,0.0
3516,,ARM_CENTERED,0.0,-2.0,-2.126827955246,160.0,160.0,0.0
3519,,ARM_CENTERED,0.0,-2.0,-2.1710689067841,160.0,160.0,0.0
3521,,ARM_CENTERED,0.0,-2.0,-2.2251427173615,160.0,160.0,0.0
3523,,ARM_CENTERED,0.0,-2.0,-2.2878682613373,160.0,160.0,0.0
3525,,ARM_CENTERED,0.0,-2.0,-2.3587565422058,160.0,160.0,0.0
3527,,ARM_CENTERED,0.0,-2.0,-2.4369692802429,160.0,160.0,0.0
3529,,ARM_CENTERED,0.0,-2.0,-2.5212321281433,160.0,160.0,0.0
3531,,ARM_CENTERED,0.0,-2.0,-2.6098012924194,160.0,160.0,0.0
3533,,ARM_CENTERED,0.0,-2.0,-2.7004418373108,160.0,160.0,0.0
3535,,ARM_CENTERED,0.0,-2.0,-2.7904217243195,160.0,160.0,0.0
3537,,ARM_CENTERED,0.0,-2.0,-2.8765125274658,160.0,160.0,0.0
3538,,ARM_CENTERED,0.0,-2.0,-2.9550006389618,160.0,160.0,0.0
3540,,ARM_CENTERED,0.0,-2.0,-3.0217046737671,160.0,160.0,0.0
3542,,ARM_CENTERED,0.0,-2.0,-3.0718188285828,160.0,160.0,0.0
3544,,ARM_CENTERED,0.0,-2.0,-3.0961124897003,160.0,160.0,0.0
3546,,ARM_CENTERED,0.0,-2.0,-3.0858886241913,160.0,160.0,0.0
3548,,ARM_CENTERED,0.0,-2.0,-3.0358374118805,160.0,160.0,0.0
3550,,ARM_LEFT,-65.463096618652,-67.463096618652,-2.9442777633667,147.50079345703,147.50079345703,0.06545877456665
