rank,address_hex,kind,score,base,move_x,move_z,rotate,delta_x,delta_z,delta_rotate
1055,0x003B3128,Z_CANDIDATE,0.0,48.0,48.0,0.0,0.0,0.0,48.0,48.0
1056,0x003B3680,Z_CANDIDATE,0.0,319.0,319.0,0.0,0.0,0.0,319.0,319.0
1057,0x003B3684,Z_CANDIDATE,0.0,230.0,230.0,0.0,0.0,0.0,230.0,230.0
1058,0x000D7250,Z_CANDIDATE,-1.9073486328125e-06,-0.0078163202852011,-0.0078144129365683,-0.00012208191037644,-0.00012208191037644,1.9073486328125e-06,0.0076942383748246,0.0076942383748246
1059,0x000D3A8C,Z_CANDIDATE,-1.2338161468506e-05,0.99738126993179,0.99850136041641,0.99532908201218,0.99643683433533,0.0011200904846191,0.0020521879196167,0.00094443559646606
1060,0x000D3FD0,ROTATION_CANDIDATE,-1.7433892935514e-05,-0.0013028798857704,-0.0015482031740248,-0.00079060910502449,-0.00056271970970556,0.00024532328825444,0.00051227078074589,0.00074016017606482
1061,0x000D3A4C,Z_CANDIDATE,-3.0696392059326e-05,0.99738854169846,0.99849432706833,0.99535781145096,0.99643290042877,0.001105785369873,0.0020307302474976,0.00095564126968384
1062,0x000D3DA0,X_CANDIDATE,-3.2246112823486e-05,-0.99955064058304,-0.99975669384003,-0.99951308965683,-0.99975138902664,0.00020605325698853,3.7550926208496e-05,0.00020074844360352
1063,0x003B2E08,X_CANDIDATE,-6.6705048084259e-05,-0.039203509688377,0.039136804640293,0.0,0.0,0.078340314328671,0.039203509688377,0.039203509688377
1064,0x000D3A0C,Z_CANDIDATE,-0.00011003017425537,0.99999940395355,0.99926680326462,0.99896097183228,0.99958354234695,0.00073260068893433,0.0010384321212769,0.0004158616065979
1065,0x000D3704,Z_CANDIDATE,-0.00013866275548935,0.099934175610542,0.099745400249958,0.099595978856087,0.099646091461182,0.00018877536058426,0.00033819675445557,0.00028808414936066
1066,0x00286E38,Z_CANDIDATE,-0.00033772632014006,-0.0066141821444035,-0.00046677712816745,-0.01518165320158,-0.0038563897833228,0.006147405016236,0.0085674710571766,0.0027577923610806
1067,0x000D7260,Z_CANDIDATE,-0.00036649747926276,-0.0004885793896392,-0.00012208191037644,-0.0078172739595175,-0.0078172739595175,0.00036649747926276,0.0073286945698783,0.0073286945698783
1068,0x0007BA00,Z_CANDIDATE,-0.00038238242268562,0.018841294571757,0.019223676994443,1.0,1.0,0.00038238242268562,0.98115870542824,0.98115870542824
1069,0x000D39F8,X_CANDIDATE,-0.00039118528366089,-0.99980020523071,-0.99883049726486,-0.99906826019287,-0.99917125701904,0.00096970796585083,0.0007319450378418,0.00062894821166992
1070,0x000D36D8,Z_CANDIDATE,-0.00052529573440552,0.099376261234283,0.098601453006268,0.097236111760139,0.09748562425375,0.0007748082280159,0.002140149474144,0.0018906369805336
1071,0x000D36F0,Z_CANDIDATE,-0.00054924935102463,0.099964939057827,0.099182054400444,0.098825514316559,0.099059149622917,0.00078288465738297,0.0011394247412682,0.00090578943490982
1072,0x000D3DF4,X_CANDIDATE,-0.00056028366088867,0.99454790353775,0.99691677093506,0.99682033061981,0.99389117956161,0.0023688673973083,0.0022724270820618,0.00065672397613525
1073,0x00079974,X_CANDIDATE,-0.00057125091552734,0.04489777982235,0.048097997903824,0.042702656239271,0.046474125236273,0.0032002180814743,0.0021951235830784,0.0015763454139233
1074,0x000F8D50,X_CANDIDATE,-0.00059488997794688,-0.00059488997794688,0.0,0.0,0.0,0.00059488997794688,0.00059488997794688,0.00059488997794688
1075,0x000D3DA4,Z_CANDIDATE,-0.00068785529583693,0.019637795165181,0.021426809951663,-0.010474097914994,-0.0093729384243488,0.0017890147864819,0.030111893080175,0.02901073358953
1076,0x000D36B0,Z_CANDIDATE,-0.00069329887628555,0.099661059677601,0.09882527589798,0.097356289625168,0.097498774528503,0.00083578377962112,0.002304770052433,0.0021622851490974
1077,0x000D3718,Z_CANDIDATE,-0.00073327124118805,0.099907472729683,0.098971590399742,0.09851997345686,0.098722584545612,0.0009358823299408,0.0013874992728233,0.0011848881840706
1078,0x000D3E34,X_CANDIDATE,-0.00074326992034912,0.99462586641312,0.99688065052032,0.99684721231461,0.99384915828705,0.0022547841072083,0.0022213459014893,0.00077670812606812
1079,0x000D3E24,Z_CANDIDATE,-0.00086870370432734,0.022620290517807,0.018746053799987,-0.010418981313705,-0.0074134483002126,0.0038742367178202,0.033039271831512,0.03003373881802
