GoldenEyeDiagnostic 0.0.5.8.8.1
ROM: 007 - GoldenEye (USA)
Hash: ABE01E4AEB033B6C0836819F549C791B26CFDE83
Candidates found: 7668
Candidates exported: 7668
CSV: .\output\first-soldier-vertical-candidates-20260729-202202.csv

Snapshots:
CENTER | frame=5043
AUTO_AIM_DOWN | frame=5784
TARGET_HEAD | frame=3909
TARGET_UPPER_BODY | frame=6459
TARGET_LOWER_BODY | frame=6801
TARGET_LOST | frame=7290

Regions:
ARM_CORE | 0x000D3600-0x000D61FF
ARM_NEAR_X | 0x000D3C00-0x000D40FF
CAMERA_NEAR | 0x00079600-0x00079CFF

Top 200:
68 | region=ARM_CORE | address=0x000D3F64 | type=U32_BE | kind=BODY_PROGRESSION | score=36967650580.5 | center=0 | down=3210265868 | head=391114237 | upper=2662060921 | lower=2693941500 | lost=2865148511 | monotonic=true
69 | region=ARM_NEAR_X | address=0x000D3F64 | type=U32_BE | kind=BODY_PROGRESSION | score=36967650580.5 | center=0 | down=3210214460 | head=391114237 | upper=2662060921 | lower=2693941500 | lost=2865148511 | monotonic=true
70 | region=ARM_CORE | address=0x000D3634 | type=U32_BE | kind=BODY_PROGRESSION | score=36576965799.5 | center=992317808 | down=3138900335 | head=3134089285 | upper=3056217600 | lower=940549184 | lost=3110889120 | monotonic=true
71 | region=ARM_CORE | address=0x000D5BE4 | type=U32_BE | kind=BODY_PROGRESSION | score=36507222007.5 | center=4294967295 | down=4294967295 | head=0 | upper=0 | lower=4294967295 | lost=4294967295 | monotonic=false
72 | region=ARM_NEAR_X | address=0x000D3D20 | type=U32_BE | kind=BODY_PROGRESSION | score=36507221992.0 | center=2 | down=2 | head=4294967294 | upper=4294967295 | lower=2 | lost=2 | monotonic=false
73 | region=ARM_CORE | address=0x000D3D20 | type=U32_BE | kind=BODY_PROGRESSION | score=36507221992.0 | center=2 | down=2 | head=4294967294 | upper=4294967295 | lower=2 | lost=2 | monotonic=false
74 | region=ARM_CORE | address=0x000D3978 | type=U32_BE | kind=BODY_PROGRESSION | score=36507221982.0 | center=2 | down=1 | head=4294967294 | upper=2 | lower=2 | lost=2 | monotonic=false
75 | region=ARM_CORE | address=0x000D5BEC | type=U32_BE | kind=BODY_PROGRESSION | score=36506664960.0 | center=4294901760 | down=4294901760 | head=0 | upper=0 | lower=4294901760 | lost=4294901760 | monotonic=false
76 | region=ARM_CORE | address=0x000D5BAC | type=U32_BE | kind=BODY_PROGRESSION | score=36154755703.0 | center=4274576716 | down=4286973793 | head=26174100 | upper=22851082 | lower=4275999762 | lost=4273580414 | monotonic=false
77 | region=ARM_CORE | address=0x000D5FE0 | type=U32_BE | kind=BODY_PROGRESSION | score=36071006717.0 | center=3154120710 | down=4211081216 | head=100663296 | upper=4160749568 | lower=3120567298 | lost=3154120710 | monotonic=false
78 | region=ARM_CORE | address=0x000D60C8 | type=U32_BE | kind=BODY_PROGRESSION | score=35970336811.0 | center=3154120710 | down=4160749568 | head=100663296 | upper=4160749568 | lower=3120567298 | lost=3103785757 | monotonic=false
79 | region=ARM_CORE | address=0x000D3914 | type=U32_BE | kind=BODY_PROGRESSION | score=35802654445.5 | center=3166339741 | down=1022228377 | head=3171348951 | upper=3168575065 | lower=1005037916 | lost=1025128311 | monotonic=true
80 | region=ARM_CORE | address=0x000D38C0 | type=U32_BE | kind=BODY_PROGRESSION | score=35789760808.5 | center=3201574267 | down=1054713343 | head=3206010399 | upper=3189585202 | lower=1042617312 | lost=1060430071 | monotonic=true
81 | region=ARM_CORE | address=0x000D389C | type=U32_BE | kind=BODY_PROGRESSION | score=35785239509.5 | center=3165239192 | down=1018253724 | head=3170037813 | upper=3153823828 | lower=1006899176 | lost=1024504827 | monotonic=true
82 | region=ARM_CORE | address=0x000D3908 | type=U32_BE | kind=BODY_PROGRESSION | score=35539555402.0 | center=3158236270 | down=3166529015 | head=3172415372 | upper=3147841485 | lower=1024804354 | lost=1025750474 | monotonic=true
83 | region=ARM_CORE | address=0x000D3CBC | type=U32_BE | kind=BODY_PROGRESSION | score=35521734161.0 | center=1006207283 | down=3158890524 | head=1013839390 | upper=1024203311 | lower=3165786634 | lost=3166398841 | monotonic=true
84 | region=ARM_NEAR_X | address=0x000D3CBC | type=U32_BE | kind=BODY_PROGRESSION | score=35521734161.0 | center=1006207283 | down=3158890524 | head=1013839390 | upper=1024203311 | lower=3165786634 | lost=3166398841 | monotonic=true
85 | region=ARM_CORE | address=0x000D36B4 | type=U32_BE | kind=BODY_PROGRESSION | score=35367418567.0 | center=3123993227 | down=983572331 | head=3129053959 | upper=998821983 | lower=989321193 | lost=1000922490 | monotonic=true
86 | region=ARM_CORE | address=0x000D5D80 | type=U32_BE | kind=BODY_PROGRESSION | score=35102674978.0 | center=4230389764 | down=100663296 | head=4230389764 | upper=100663296 | lower=100663296 | lost=4230389764 | monotonic=false
87 | region=ARM_CORE | address=0x000D394C | type=U32_BE | kind=BODY_PROGRESSION | score=34924987949.5 | center=1017077533 | down=1018176730 | head=1003604147 | upper=1020140506 | lower=3121869824 | lost=3173346359 | monotonic=true
88 | region=ARM_CORE | address=0x000D5EE8 | type=U32_BE | kind=BODY_PROGRESSION | score=34837882414.0 | center=3154120710 | down=4229273604 | head=100663296 | upper=4160749568 | lower=3875536896 | lost=3103785757 | monotonic=false
89 | region=ARM_CORE | address=0x000D6140 | type=U32_BE | kind=BODY_PROGRESSION | score=34510733312.0 | center=4160749568 | down=100663296 | head=4160749568 | upper=100663296 | lower=100663296 | lost=4160749568 | monotonic=false
90 | region=ARM_CORE | address=0x000D6168 | type=U32_BE | kind=BODY_PROGRESSION | score=34510733312.0 | center=100663296 | down=4160749568 | head=100663296 | upper=4160749568 | lower=4160749568 | lost=100663296 | monotonic=false
91 | region=ARM_CORE | address=0x000D6190 | type=U32_BE | kind=BODY_PROGRESSION | score=34510733312.0 | center=4160749568 | down=100663296 | head=4160749568 | upper=100663296 | lower=100663296 | lost=4160749568 | monotonic=false
92 | region=ARM_CORE | address=0x000D61B8 | type=U32_BE | kind=BODY_PROGRESSION | score=34510733312.0 | center=100663296 | down=4160749568 | head=100663296 | upper=4160749568 | lower=4160749568 | lost=100663296 | monotonic=false
93 | region=ARM_CORE | address=0x000D61E0 | type=U32_BE | kind=BODY_PROGRESSION | score=34510733312.0 | center=4160749568 | down=100663296 | head=4160749568 | upper=100663296 | lower=100663296 | lost=4160749568 | monotonic=false
94 | region=ARM_CORE | address=0x000D6070 | type=U32_BE | kind=BODY_PROGRESSION | score=33168548343.0 | center=4229273604 | down=3120567298 | head=100663296 | upper=3875536896 | lower=3154121734 | lost=4229273604 | monotonic=false
95 | region=ARM_CORE | address=0x000D5C74 | type=U32_BE | kind=BODY_PROGRESSION | score=33110278888.0 | center=2749643328 | down=4151639312 | head=3925529592 | upper=3214285520 | lower=2235051824 | lost=2898290096 | monotonic=true
96 | region=ARM_CORE | address=0x000D5DD0 | type=U32_BE | kind=BODY_PROGRESSION | score=32430368772.0 | center=3120567298 | down=100663296 | head=4160749568 | upper=100663296 | lower=100663296 | lost=4160749568 | monotonic=false
97 | region=ARM_CORE | address=0x000D5E20 | type=U32_BE | kind=BODY_PROGRESSION | score=32430368772.0 | center=3120567298 | down=100663296 | head=4160749568 | upper=100663296 | lower=100663296 | lost=4160749568 | monotonic=false
98 | region=ARM_CORE | address=0x000D5E70 | type=U32_BE | kind=BODY_PROGRESSION | score=32430368772.0 | center=3120567298 | down=100663296 | head=4160749568 | upper=100663296 | lower=100663296 | lost=4160749568 | monotonic=false
99 | region=ARM_CORE | address=0x000D5D98 | type=U32_BE | kind=BODY_PROGRESSION | score=32086425600.0 | center=100663296 | down=3875536896 | head=100663296 | upper=3875536896 | lower=3875536896 | lost=100663296 | monotonic=false
100 | region=ARM_CORE | address=0x000D5EB4 | type=U32_BE | kind=BODY_PROGRESSION | score=30627535153.5 | center=2074432 | down=2112776 | head=0 | upper=3289456760 | lower=1509949695 | lost=1020480 | monotonic=false
101 | region=ARM_CORE | address=0x000D5F04 | type=U32_BE | kind=BODY_PROGRESSION | score=30609902481.5 | center=2074432 | down=83889248 | head=2074432 | upper=3289456760 | lower=1509949695 | lost=1020480 | monotonic=false
102 | region=ARM_CORE | address=0x000D5FAC | type=U32_BE | kind=BODY_PROGRESSION | score=30478760636.0 | center=2074432 | down=83914872 | head=0 | upper=3289456760 | lower=1610537976 | lost=2074432 | monotonic=false
103 | region=ARM_CORE | address=0x000D60E4 | type=U32_BE | kind=BODY_PROGRESSION | score=30478595452.0 | center=2195136 | down=3289456760 | head=0 | upper=3289456760 | lower=1610537976 | lost=2112544 | monotonic=false
104 | region=ARM_CORE | address=0x000D5F5C | type=U32_BE | kind=BODY_PROGRESSION | score=30474611772.0 | center=0 | down=1021760 | head=0 | upper=3289456760 | lower=1610537976 | lost=2074432 | monotonic=false
105 | region=ARM_CORE | address=0x000D5FFC | type=U32_BE | kind=BODY_PROGRESSION | score=30467742268.0 | center=1021696 | down=2076704 | head=1048576 | upper=3289456760 | lower=1610537976 | lost=2074432 | monotonic=false
106 | region=ARM_CORE | address=0x000D609C | type=U32_BE | kind=BODY_PROGRESSION | score=30465698876.0 | center=0 | down=2084832 | head=1048576 | upper=3289456760 | lower=1610537976 | lost=2074432 | monotonic=false
107 | region=ARM_CORE | address=0x000D5F40 | type=U32_BE | kind=BODY_PROGRESSION | score=29964091889.0 | center=100663296 | down=3103785757 | head=100663296 | upper=4160749568 | lower=3120567298 | lost=3154120710 | monotonic=false
108 | region=ARM_CORE | address=0x000D5F90 | type=U32_BE | kind=BODY_PROGRESSION | score=29964091889.0 | center=100663296 | down=4229273604 | head=100663296 | upper=4160749568 | lower=3120567298 | lost=3154120710 | monotonic=false
109 | region=ARM_CORE | address=0x000D6028 | type=U32_BE | kind=BODY_PROGRESSION | score=29835449906.0 | center=4229273604 | down=4160749568 | head=100663296 | upper=3875536896 | lower=3875536896 | lost=3103785757 | monotonic=false
