GoldenEyeDiagnostic 0.0.5.8.8.1
ROM: 007 - GoldenEye (USA)
Hash: ABE01E4AEB033B6C0836819F549C791B26CFDE83
Candidates found: 8400
Candidates exported: 8400
CSV: .\output\first-soldier-vertical-candidates-20260729-201716.csv

Snapshots:
CENTER | frame=5399
AUTO_AIM_DOWN | frame=6725
TARGET_HEAD | frame=8534
TARGET_UPPER_BODY | frame=4213
TARGET_LOWER_BODY | frame=5825
TARGET_LOST | frame=4693

Regions:
ARM_CORE | 0x000D3600-0x000D61FF
ARM_NEAR_X | 0x000D3C00-0x000D40FF
CAMERA_NEAR | 0x00079600-0x00079CFF

Top 200:
86 | region=ARM_CORE | address=0x000D5ECC | type=U32_BE | kind=BODY_PROGRESSION | score=27057420853.0 | center=0 | down=83913912 | head=1048576 | upper=1509949695 | lower=1610537976 | lost=1509949695 | monotonic=true
87 | region=ARM_CORE | address=0x000D6024 | type=U32_BE | kind=BODY_PROGRESSION | score=26986027754.0 | center=1509949695 | down=1048576 | head=1610537976 | upper=83914872 | lower=2090288 | lost=2084832 | monotonic=true
88 | region=ARM_CORE | address=0x000D5F7C | type=U32_BE | kind=BODY_PROGRESSION | score=26846341674.5 | center=1610537976 | down=0 | head=1509949695 | upper=2112776 | lower=3289456760 | lost=3289456760 | monotonic=false
89 | region=ARM_CORE | address=0x000D5FC4 | type=U32_BE | kind=BODY_PROGRESSION | score=26580220457.5 | center=0 | down=0 | head=7 | upper=2114168 | lower=1610537976 | lost=1610537976 | monotonic=true
90 | region=ARM_CORE | address=0x000D5B28 | type=U32_BE | kind=BODY_PROGRESSION | score=26167148416.5 | center=3137339393 | down=3137339393 | head=3137339393 | upper=3137339393 | lower=58851344 | lost=3137339393 | monotonic=false
91 | region=ARM_CORE | address=0x000D5B18 | type=U32_BE | kind=BODY_PROGRESSION | score=26021243273.0 | center=3120567298 | down=3120567298 | head=3120567298 | upper=3120567298 | lower=59244560 | lost=3120567298 | monotonic=false
92 | region=ARM_CORE | address=0x000D5CF8 | type=U32_BE | kind=BODY_PROGRESSION | score=25954483763.0 | center=3154131974 | down=3154131974 | head=3154131974 | upper=3154131974 | lower=100663296 | lost=3154131974 | monotonic=false
93 | region=ARM_CORE | address=0x000D5D48 | type=U32_BE | kind=BODY_PROGRESSION | score=25954396723.0 | center=3154121734 | down=3875536896 | head=3154121734 | upper=3154121734 | lower=100663296 | lost=3154121734 | monotonic=false
94 | region=ARM_CORE | address=0x000D6038 | type=U32_BE | kind=BODY_PROGRESSION | score=25954394675.0 | center=3154120710 | down=4229273604 | head=100663296 | upper=3154121734 | lower=3154121734 | lost=3154121734 | monotonic=false
95 | region=ARM_CORE | address=0x000D5EF8 | type=U32_BE | kind=BODY_PROGRESSION | score=25954392627.0 | center=3154119686 | down=4211081216 | head=100663296 | upper=3154121734 | lower=3154121734 | lost=3154121734 | monotonic=false
96 | region=ARM_CORE | address=0x000D6178 | type=U32_BE | kind=BODY_PROGRESSION | score=25954392627.0 | center=3154121734 | down=4229273604 | head=3154121734 | upper=3154121734 | lower=100663296 | lost=3154119686 | monotonic=false
97 | region=ARM_CORE | address=0x000D5CF0 | type=U32_BE | kind=BODY_PROGRESSION | score=25881942510.5 | center=58851344 | down=58851344 | head=58851344 | upper=58851344 | lower=3103785757 | lost=58851344 | monotonic=false
98 | region=ARM_CORE | address=0x000D5B20 | type=U32_BE | kind=BODY_PROGRESSION | score=25880828398.5 | center=3103785757 | down=3103785757 | head=3103785757 | upper=3103785757 | lower=58982416 | lost=3103785757 | monotonic=false
99 | region=ARM_CORE | address=0x000D5E40 | type=U32_BE | kind=BODY_PROGRESSION | score=25853718113.0 | center=3103785757 | down=3120567298 | head=3154120710 | upper=3154120710 | lower=100663296 | lost=3154120710 | monotonic=false
100 | region=ARM_CORE | address=0x000D5E90 | type=U32_BE | kind=BODY_PROGRESSION | score=25853718113.0 | center=3103785757 | down=3875536896 | head=3154120710 | upper=3154120710 | lower=100663296 | lost=3154120710 | monotonic=false
