relative_frame,emu_frame,route_index,event,checkpoint,state,death,hitSignal,pointer_hex,aux,differences
336,3417,337,,,0,0,0,0x801FABDC,0,""
337,3418,338,,,0,0,0,0x801FABDC,0,""
338,3419,339,CHECKPOINT_CAPTURE,SOLDIER_VISIBLE,0,0,0,0x801FABDC,0,""
338,3419,339,SOLDIER_VISIBLE,,0,0,0,0x801FABDC,0,""
339,3420,340,,,0,0,0,0x801FABDC,0,""
340,3421,341,,,0,0,0,0x801FABDC,0,""
341,3422,342,,,0,0,0,0x801FABDC,0,""
342,3423,343,,,0,0,0,0x801FABDC,0,""
343,3424,344,,,0,0,0,0x801FABDC,0,""
344,3425,345,,,0,0,0,0x801FABDC,0,""
345,3426,346,,,0,0,0,0x801FABDC,0,""
346,3427,347,,,0,0,0,0x801FABDC,0,""
347,3428,348,,,0,0,0,0x801FABDC,0,""
348,3429,349,,,0,0,0,0x801FABDC,0,""
349,3430,350,,,0,0,0,0x801FABDC,0,""
350,3431,351,,,0,0,0,0x801FABDC,0,""
351,3432,352,,,0,0,0,0x801FABDC,0,""
352,3433,353,,,0,0,0,0x801FABDC,0,""
353,3434,354,,,0,0,0,0x801FABDC,0,""
354,3435,355,,,0,0,0,0x801FABDC,0,""
355,3436,356,,,0,0,0,0x801FABDC,0,""
356,3437,357,,,0,0,0,0x801FABDC,0,""
357,3438,358,,,0,0,0,0x801FABDC,0,""
358,3439,359,,,0,0,0,0x801FABDC,0,""
359,3440,360,,,0,0,0,0x801FABDC,0,""
360,3441,361,,,0,0,0,0x801FABDC,0,""
361,3442,362,,,0,0,0,0x801FABDC,0,""
362,3443,363,,,0,0,0,0x801FABDC,0,""
363,3444,364,,,0,0,0,0x801FABDC,0,""
364,3445,365,,,0,0,0,0x801FABDC,0,""
365,3446,366,,,0,0,0,0x801FABDC,0,""
366,3447,367,,,0,0,0,0x801FABDC,0,""
367,3448,368,,,0,0,0,0x801FABDC,0,""
368,3449,369,,,0,0,0,0x801FABDC,0,""
369,3450,370,,,0,0,0,0x801FABDC,0,""
370,3451,371,,,0,0,0,0x801FABDC,0,""
371,3452,372,,,0,0,0,0x801FABDC,0,""
372,3453,373,,,0,0,0,0x801FABDC,0,""
373,3454,374,,,0,0,0,0x801FABDC,0,""
374,3455,375,,,0,0,0,0x801FABDC,0,""
375,3456,376,,,0,0,0,0x801FABDC,0,""
376,3457,377,,,0,0,0,0x801FABDC,0,""
377,3458,378,,,0,0,0,0x801FABDC,0,""
378,3459,379,,,0,0,0,0x801FABDC,0,""
379,3460,380,,,0,0,0,0x801FABDC,0,""
380,3461,381,,,0,0,0,0x801FABDC,0,""
381,3462,382,,,0,0,0,0x801FABDC,0,""
382,3463,383,,,0,0,0,0x801FABDC,0,""
383,3464,384,,,0,0,0,0x801FABDC,0,""
384,3465,385,,,0,0,0,0x801FABDC,0,""
385,3466,386,,,0,0,0,0x801FABDC,0,""
386,3467,387,,,0,0,0,0x801FABDC,0,""
387,3468,388,,,0,0,0,0x801FABDC,0,""
388,3469,389,,,0,0,0,0x801FABDC,0,""
389,3470,390,,,0,0,0,0x801FABDC,0,""
390,3471,391,,,0,0,0,0x801FABDC,0,""
391,3472,392,,,0,0,0,0x801FABDC,0,""
392,3473,393,,,0,0,0,0x801FABDC,0,""
393,3474,394,,,0,0,0,0x801FABDC,0,""
394,3475,395,,,0,0,0,0x801FABDC,0,""
395,3476,396,,,0,0,0,0x801FABDC,0,""
396,3477,397,,,0,0,0,0x801FABDC,0,""
397,3478,398,,,0,0,0,0x801FABDC,0,""
398,3479,399,,,0,0,0,0x801FABDC,0,""
399,3480,400,,,0,0,0,0x801FABDC,0,""
400,3481,401,,,0,0,0,0x801FABDC,0,""
401,3482,402,,,0,0,0,0x801FABDC,0,""
402,3483,403,,,0,0,0,0x801FABDC,0,""
403,3484,404,,,0,0,0,0x801FABDC,0,""
404,3485,405,,,0,0,0,0x801FABDC,0,""
405,3486,406,,,0,0,0,0x801FABDC,0,""
406,3487,407,,,0,0,0,0x801FABDC,0,""
407,3488,408,,,0,0,0,0x801FABDC,0,""
408,3489,409,,,0,0,0,0x801FABDC,0,""
409,3490,410,,,0,0,0,0x801FABDC,0,""
410,3491,411,,,0,0,0,0x801FABDC,0,""
411,3492,412,,,0,0,0,0x801FABDC,0,""
412,3493,413,,,0,0,0,0x801FABDC,0,""
413,3494,414,,,0,0,0,0x801FABDC,0,""
414,3495,415,,,0,0,0,0x801FABDC,0,""
415,3496,416,,,0,0,0,0x801FABDC,0,""
416,3497,417,,,0,0,0,0x801FABDC,0,""
417,3498,418,,,0,0,0,0x801FABDC,0,""
418,3499,419,,,0,0,0,0x801FABDC,0,""
419,3500,420,,,0,0,0,0x801FABDC,0,""
420,3501,421,,,0,0,0,0x801FABDC,0,""
421,3502,422,,,0,0,0,0x801FABDC,0,""
422,3503,423,,,0,0,0,0x801FABDC,0,""
423,3504,424,,,0,0,0,0x801FABDC,0,""
424,3505,425,,,0,0,0,0x801FABDC,0,""
425,3506,426,,,0,0,0,0x801FABDC,0,""
426,3507,427,,,0,0,0,0x801FABDC,0,""
427,3508,428,,,0,0,0,0x801FABDC,0,""
428,3509,429,,,0,0,0,0x801FABDC,0,""
429,3510,430,,,0,0,0,0x801FABDC,0,""
430,3511,431,,,0,0,0,0x801FABDC,0,""
431,3512,432,,,0,0,0,0x801FABDC,0,""
432,3513,433,,,0,0,0,0x801FABDC,0,""
433,3514,434,,,0,0,0,0x801FABDC,0,""
434,3515,435,,,0,0,0,0x801FABDC,0,""
435,3516,436,,,0,0,0,0x801FABDC,0,""
436,3517,437,,,0,0,0,0x801FABDC,0,""
437,3518,438,,,0,0,0,0x801FABDC,0,""
438,3519,439,,,0,0,0,0x801FABDC,0,""
439,3520,440,,,0,0,0,0x801FABDC,0,""
440,3521,441,,,0,0,0,0x801FABDC,0,""
441,3522,442,,,0,0,0,0x801FABDC,0,""
442,3523,443,,,0,0,0,0x801FABDC,0,""
443,3524,444,,,0,0,0,0x801FABDC,0,""
444,3525,445,,,0,0,0,0x801FABDC,0,""
445,3526,446,,,0,0,0,0x801FABDC,0,""
446,3527,447,,,0,0,0,0x801FABDC,0,""
447,3528,448,,,0,0,0,0x801FABDC,0,""
448,3529,449,,,0,0,0,0x801FABDC,0,""
449,3530,450,,,0,0,0,0x801FABDC,0,""
450,3531,451,,,0,0,0,0x801FABDC,0,""
451,3532,452,,,0,0,0,0x801FABDC,0,""
452,3533,453,,,0,0,0,0x801FABDC,0,""
453,3534,454,,,0,0,0,0x801FABDC,0,""
454,3535,455,,,0,0,0,0x801FABDC,0,""
455,3536,456,,,0,0,0,0x801FABDC,0,""
456,3537,457,,,0,0,0,0x801FABDC,0,""
457,3538,458,,,0,0,0,0x801FABDC,0,""
458,3539,459,,,0,0,0,0x801FABDC,0,""
459,3540,460,,,0,0,0,0x801FABDC,0,""
460,3541,461,,,0,0,0,0x801FABDC,0,""
461,3542,462,,,0,0,0,0x801FABDC,0,""
462,3543,463,,,0,0,0,0x801FABDC,0,""
463,3544,464,,,0,0,0,0x801FABDC,0,""
464,3545,465,,,0,0,0,0x801FABDC,0,""
465,3546,466,,,0,0,0,0x801FABDC,0,""
466,3547,467,,,0,0,0,0x801FABDC,0,""
467,3548,468,,,0,0,0,0x801FABDC,0,""
468,3549,469,,,0,0,0,0x801FABDC,0,""
469,3550,470,,,0,0,0,0x801FABDC,0,""
470,3551,471,,,0,0,0,0x801FABDC,0,""
471,3552,472,,,0,0,0,0x801FABDC,0,""
472,3553,473,,,0,0,0,0x801FABDC,0,""
473,3554,474,,,0,0,0,0x801FABDC,0,""
474,3555,475,,,0,0,0,0x801FABDC,0,""
475,3556,476,,,0,0,0,0x801FABDC,0,""
476,3557,477,,,0,0,0,0x801FABDC,0,""
477,3558,478,,,0,0,0,0x801FABDC,0,""
478,3559,479,,,0,0,0,0x801FABDC,0,""
479,3560,480,,,0,0,0,0x801FABDC,0,""
480,3561,481,,,0,0,0,0x801FABDC,0,""
481,3562,482,,,0,0,0,0x801FABDC,0,""
482,3563,483,,,0,0,0,0x801FABDC,0,""
483,3564,484,,,0,0,0,0x801FABDC,0,""
484,3565,485,,,0,0,0,0x801FABDC,0,""
485,3566,486,,,0,0,0,0x801FABDC,0,""
486,3567,487,,,0,0,0,0x801FABDC,0,""
487,3568,488,,,0,0,0,0x801FABDC,0,""
488,3569,489,,,0,0,0,0x801FABDC,0,""
489,3570,490,,,0,0,0,0x801FABDC,0,""
490,3571,491,,,0,0,0,0x801FABDC,0,""
491,3572,492,,,0,0,0,0x801FABDC,0,""
492,3573,493,,,0,0,0,0x801FABDC,0,""
493,3574,494,,,0,0,0,0x801FABDC,0,""
494,3575,495,,,0,0,0,0x801FABDC,0,""
495,3576,496,,,0,0,0,0x801FABDC,0,""
496,3577,497,,,0,0,0,0x801FABDC,0,""
497,3578,498,,,0,0,0,0x801FABDC,0,""
498,3579,499,,,0,0,0,0x801FABDC,0,""
499,3580,500,,,0,0,0,0x801FABDC,0,""
500,3581,501,,,0,0,0,0x801FABDC,0,""
501,3582,502,,,0,0,0,0x801FABDC,0,""
502,3583,503,,,0,0,0,0x801FABDC,0,""
503,3584,504,,,0,0,0,0x801FABDC,0,""
