frame,event,mode,gate_enabled,armed,stable_count,invalid_count,screen_x,screen_x_copy,raw_horizontal,normalized,arm_ready,raw_active,normalized_active,acquisition_ready,gate_ready,blocker
3780,SAMPLE,ARM_AND_ACQUISITION,false,true,0,114,165.61950683594,165.61950683594,29.479595184326,-0.029457569122314,false,true,true,true,false,ARM
3785,SAMPLE,ARM_AND_ACQUISITION,false,true,0,119,165.96655273438,165.96655273438,31.300628662109,-0.03123140335083,false,true,true,true,false,ARM
3790,SAMPLE,ARM_AND_ACQUISITION,false,true,0,124,165.9529876709,165.9529876709,31.229818344116,-0.03118371963501,false,true,true,true,false,ARM
3795,SAMPLE,ARM_AND_ACQUISITION,false,true,0,129,165.49188232422,165.49188232422,28.812320709229,-0.028786659240723,false,true,true,true,false,ARM
3800,SAMPLE,ARM_AND_ACQUISITION,false,true,0,134,164.85661315918,164.85661315918,25.481245040894,-0.025431156158447,false,true,true,true,false,ARM
3805,SAMPLE,ARM_AND_ACQUISITION,false,true,0,139,164.0531463623,164.0531463623,21.267869949341,-0.021212577819824,false,true,true,true,false,ARM
3810,SAMPLE,ARM_AND_ACQUISITION,false,true,0,144,163.39822387695,163.39822387695,17.83274269104,-0.017760753631592,false,true,true,true,false,ARM
3815,SAMPLE,ARM_AND_ACQUISITION,false,true,2,0,162.67684936523,162.67684936523,14.048209190369,-0.013973712921143,true,true,true,true,true,NONE
3820,SAMPLE,ARM_AND_ACQUISITION,false,true,7,0,161.98345947266,161.98345947266,10.409811973572,-0.010378360748291,true,true,true,true,true,NONE
3825,SAMPLE,ARM_AND_ACQUISITION,false,true,12,0,161.07638549805,161.07638549805,5.6494250297546,-0.0071187019348145,true,true,true,true,true,NONE
3830,SAMPLE,ARM_AND_ACQUISITION,false,true,0,1,160.75392150879,160.75392150879,3.9569728374481,-0.0039067268371582,true,false,false,false,false,ACQUISITION
3835,SAMPLE,ARM_AND_ACQUISITION,false,true,0,6,160.71975708008,160.71975708008,3.7775943279266,-0.0037150382995605,true,false,false,false,false,ACQUISITION
3840,SAMPLE,ARM_AND_ACQUISITION,false,true,4,0,160.83396911621,160.83396911621,4.3769021034241,-0.004338264465332,true,true,true,true,true,NONE
3845,SAMPLE,ARM_AND_ACQUISITION,false,true,9,0,160.93818664551,160.93818664551,4.923779964447,-0.0047221183776855,true,true,true,true,true,NONE
3850,SAMPLE,ARM_AND_ACQUISITION,false,true,14,0,160.99291992188,160.99291992188,5.2110042572021,-0.0051531791687012,true,true,true,true,true,NONE
3855,SAMPLE,ARM_AND_ACQUISITION,false,true,19,0,161.04330444336,161.04330444336,5.475417137146,-0.0053930282592773,true,true,true,true,true,NONE
3860,SAMPLE,ARM_AND_ACQUISITION,false,true,24,0,161.09507751465,161.09507751465,5.7471237182617,-0.0056805610656738,true,true,true,true,true,NONE
3865,SAMPLE,ARM_AND_ACQUISITION,false,true,29,0,161.1773223877,161.1773223877,6.1787533760071,-0.0061120986938477,true,true,true,true,true,NONE
3870,SAMPLE,ARM_AND_ACQUISITION,false,true,34,0,161.27073669434,161.27073669434,6.6690711975098,-0.0065913200378418,true,true,true,true,true,NONE
3875,SAMPLE,ARM_AND_ACQUISITION,false,true,39,0,161.54138183594,161.54138183594,8.0896196365356,-0.0080294609069824,true,true,true,true,true,NONE
3880,SAMPLE,ARM_AND_ACQUISITION,false,true,44,0,162.37535095215,162.37535095215,12.466261863708,-0.012392044067383,true,true,true,true,true,NONE
3885,SAMPLE,ARM_AND_ACQUISITION,false,true,0,3,164.31117248535,164.31117248535,22.621894836426,-0.022554874420166,false,true,true,true,false,ARM
3890,SAMPLE,ARM_AND_ACQUISITION,false,true,0,8,165.81732177734,165.81732177734,30.518529891968,-0.030464649200439,false,true,true,true,false,ARM
