GoldenEyeDiagnostic 0.0.5.8.6
ROM: 007 - GoldenEye (USA)
Hash: ABE01E4AEB033B6C0836819F549C791B26CFDE83
Candidates found: 197
Candidates exported: 197
CSV: .\output\shot-outcome-candidates-20260729-194219.csv

Snapshots:
BEFORE_SHOT | frame=2990
HIT | frame=4043
VISUAL_DEATH | frame=4478
MISS | frame=3335

Regions:
STATE_30A | 0x00030800-0x00030CFF
STATE_3CB | 0x0003C900-0x0003CDFF
OBJECT_1E | 0x001DF000-0x001E1FFF
POINTER_1F | 0x001F3000-0x001F4FFF

Top 150:
128 | region=OBJECT_1E | address=0x001E014B | type=U8 | kind=SMALL_STATE | score=500 | before=0 | hit=0 | death=50 | miss=0
129 | region=OBJECT_1E | address=0x001E015C | type=F32_BE | kind=SMALL_STATE | score=500 | before=0 | hit=0 | death=1.0 | miss=0
130 | region=OBJECT_1E | address=0x001E015C | type=U8 | kind=SMALL_STATE | score=500 | before=0 | hit=0 | death=63 | miss=0
131 | region=OBJECT_1E | address=0x001E015D | type=U8 | kind=SMALL_STATE | score=500 | before=0 | hit=0 | death=128 | miss=0
132 | region=OBJECT_1E | address=0x001E0160 | type=U8 | kind=SMALL_STATE | score=500 | before=0 | hit=0 | death=70 | miss=0
133 | region=OBJECT_1E | address=0x001E0161 | type=U8 | kind=SMALL_STATE | score=500 | before=0 | hit=0 | death=147 | miss=0
134 | region=OBJECT_1E | address=0x001E0165 | type=U8 | kind=SMALL_STATE | score=500 | before=0 | hit=0 | death=153 | miss=0
135 | region=OBJECT_1E | address=0x001E0167 | type=U8 | kind=SMALL_STATE | score=500 | before=0 | hit=0 | death=142 | miss=0
136 | region=OBJECT_1E | address=0x001E0168 | type=U8 | kind=SMALL_STATE | score=500 | before=0 | hit=0 | death=70 | miss=0
137 | region=OBJECT_1E | address=0x001E0169 | type=U8 | kind=SMALL_STATE | score=500 | before=0 | hit=0 | death=139 | miss=0
138 | region=OBJECT_1E | address=0x001E016A | type=U8 | kind=SMALL_STATE | score=500 | before=0 | hit=0 | death=58 | miss=0
139 | region=OBJECT_1E | address=0x001E016C | type=F32_BE | kind=SMALL_STATE | score=500 | before=0 | hit=0 | death=1.7936620343358e-43 | miss=0
140 | region=OBJECT_1E | address=0x001E016C | type=U32_BE | kind=SMALL_STATE | score=500 | before=0 | hit=0 | death=128 | miss=0
141 | region=OBJECT_1E | address=0x001E016E | type=U16_BE | kind=SMALL_STATE | score=500 | before=0 | hit=0 | death=128 | miss=0
142 | region=OBJECT_1E | address=0x001E016F | type=U8 | kind=SMALL_STATE | score=500 | before=0 | hit=0 | death=128 | miss=0
143 | region=OBJECT_1E | address=0x001E0174 | type=U8 | kind=SMALL_STATE | score=500 | before=0 | hit=0 | death=128 | miss=0
144 | region=OBJECT_1E | address=0x001E0175 | type=U8 | kind=SMALL_STATE | score=500 | before=0 | hit=0 | death=7 | miss=0
145 | region=OBJECT_1E | address=0x001E0176 | type=U8 | kind=SMALL_STATE | score=500 | before=0 | hit=0 | death=61 | miss=0
146 | region=POINTER_1F | address=0x001F420E | type=U8 | kind=SMALL_STATE | score=500 | before=101 | hit=151 | death=100 | miss=101
147 | region=POINTER_1F | address=0x001F420F | type=U8 | kind=SMALL_STATE | score=500 | before=128 | hit=0 | death=64 | miss=128
148 | region=POINTER_1F | address=0x001F422E | type=U8 | kind=SMALL_STATE | score=500 | before=96 | hit=145 | death=95 | miss=96
149 | region=POINTER_1F | address=0x001F454D | type=U8 | kind=SMALL_STATE | score=500 | before=16 | hit=15 | death=15 | miss=16
150 | region=POINTER_1F | address=0x001F454E | type=U8 | kind=SMALL_STATE | score=500 | before=91 | hit=145 | death=145 | miss=91
