GoldenEyeDiagnostic 0.0.5.6.1
ROM: 007 - GoldenEye (USA)
Hash: ABE01E4AEB033B6C0836819F549C791B26CFDE83
Scan range: 0x00000000-0x007FFFFC
Step: 4 bytes
Candidates exported: 1956
CSV: .\output\arm-horizontal-candidates-20260729-183052.csv

Snapshots:
NO_TARGET | frame=2710
TARGET_LEFT | frame=3671
TARGET_RIGHT | frame=5217
MANUAL_AIM | frame=6523

Top 100:
78 | address=0x001F1930 | kind=MANUAL_AIM_CANDIDATE | score=14110.348242187 | base=0.0 | left=17308.8671875 | right=17607.337890625 | manual=17601.96875 | dLeft=17308.8671875 | dRight=17607.337890625 | signOpposed=false
79 | address=0x001EEF94 | kind=ARM_RIGHT_CANDIDATE | score=14079.35390625 | base=15643.7265625 | left=15643.7265625 | right=0.0 | manual=0.0 | dLeft=0.0 | dRight=-15643.7265625 | signOpposed=false
80 | address=0x0007994C | kind=ARM_LEFT_CANDIDATE | score=13996.09296875 | base=8918.0556640625 | left=-7145.123046875 | right=5187.544921875 | manual=6899.751953125 | dLeft=-16063.178710938 | dRight=-3730.5107421875 | signOpposed=false
81 | address=0x003B2ED8 | kind=ARM_LEFT_CANDIDATE | score=13939.38678478 | base=0.45561993122101 | left=13939.913085938 | right=0.59308439493179 | manual=0.43612998723984 | dLeft=13939.457466006 | dRight=0.13746446371078 | signOpposed=false
82 | address=0x003B2D08 | kind=MANUAL_AIM_CANDIDATE | score=13521.6578125 | base=16902.072265625 | left=0.0 | right=0.0 | manual=0.0 | dLeft=-16902.072265625 | dRight=-16902.072265625 | signOpposed=false
83 | address=0x00081620 | kind=ARM_HORIZONTAL_CANDIDATE | score=13019.696533203 | base=-753.96899414063 | left=3970.607421875 | right=-3519.0090332031 | manual=-1738.7978515625 | dLeft=4724.5764160156 | dRight=-2765.0400390625 | signOpposed=true
84 | address=0x002E31F0 | kind=MANUAL_AIM_CANDIDATE | score=11196.440429688 | base=0.0 | left=0.0 | right=0.0 | manual=11196.440429688 | dLeft=0.0 | dRight=0.0 | signOpposed=false
85 | address=0x003B2BDC | kind=MANUAL_AIM_CANDIDATE | score=11051.1875 | base=-1467.6574707031 | left=9506.078125 | right=14506.548828125 | manual=12278.32421875 | dLeft=10973.735595703 | dRight=15974.206298828 | signOpposed=false
86 | address=0x003B2BD4 | kind=MANUAL_AIM_CANDIDATE | score=11005.204589844 | base=-1454.54296875 | left=9486.078125 | right=14681.461914063 | manual=12258.32421875 | dLeft=10940.62109375 | dRight=16136.004882813 | signOpposed=false
87 | address=0x003B32D0 | kind=ARM_RIGHT_CANDIDATE | score=10826.21875 | base=20227.640625 | left=1638.552734375 | right=0.0 | manual=19158.861328125 | dLeft=-18589.087890625 | dRight=-20227.640625 | signOpposed=false
88 | address=0x003B34A0 | kind=ARM_LEFT_CANDIDATE | score=10803.78252867 | base=0.057354051619768 | left=10809.315429688 | right=11.0 | manual=0.099593967199326 | dLeft=10809.258075636 | dRight=10.94264594838 | signOpposed=false
89 | address=0x0005D7BC | kind=MANUAL_AIM_CANDIDATE | score=10651.924682617 | base=18280.658203125 | left=4398.3583984375 | right=3441.5749511719 | manual=4756.5952148438 | dLeft=-13882.299804688 | dRight=-14839.083251953 | signOpposed=false
90 | address=0x003B3494 | kind=ARM_LEFT_CANDIDATE | score=10483.250594483 | base=119.0 | left=10881.719726563 | right=654.15826416016 | manual=0.1000000089407 | dLeft=10762.719726563 | dRight=535.15826416016 | signOpposed=false
91 | address=0x0005D79C | kind=MANUAL_AIM_CANDIDATE | score=10318.412744141 | base=17056.154296875 | left=1436.8930664063 | right=3888.0 | manual=3859.0 | dLeft=-15619.261230469 | dRight=-13168.154296875 | signOpposed=false
92 | address=0x003B30A8 | kind=ARM_LEFT_CANDIDATE | score=9797.7587890625 | base=0.0 | left=9797.7587890625 | right=0.0 | manual=0.0 | dLeft=9797.7587890625 | dRight=0.0 | signOpposed=false
93 | address=0x003B30A4 | kind=ARM_LEFT_CANDIDATE | score=9797.7578125 | base=0.0 | left=-9797.7578125 | right=0.0 | manual=0.0 | dLeft=-9797.7578125 | dRight=0.0 | signOpposed=false
94 | address=0x003B30B0 | kind=ARM_LEFT_CANDIDATE | score=9797.755859375 | base=0.0 | left=9797.755859375 | right=0.0 | manual=0.0 | dLeft=9797.755859375 | dRight=0.0 | signOpposed=false
95 | address=0x002E3440 | kind=MANUAL_AIM_CANDIDATE | score=9667.22265625 | base=0.0 | left=0.0 | right=0.0 | manual=-9667.22265625 | dLeft=0.0 | dRight=0.0 | signOpposed=false
96 | address=0x001A0184 | kind=MANUAL_AIM_CANDIDATE | score=9369.603125 | base=0.0 | left=-11712.00390625 | right=-11712.00390625 | manual=-11712.00390625 | dLeft=-11712.00390625 | dRight=-11712.00390625 | signOpposed=false
97 | address=0x002E2EBC | kind=MANUAL_AIM_CANDIDATE | score=9334.8466796875 | base=0.0 | left=0.0 | right=0.0 | manual=-9334.8466796875 | dLeft=0.0 | dRight=0.0 | signOpposed=false
98 | address=0x000FA0B8 | kind=MANUAL_AIM_CANDIDATE | score=8906.503125 | base=-11133.12890625 | left=0.0 | right=0.0 | manual=0.0 | dLeft=11133.12890625 | dRight=11133.12890625 | signOpposed=false
99 | address=0x000FA138 | kind=MANUAL_AIM_CANDIDATE | score=8906.503125 | base=-11133.12890625 | left=0.0 | right=0.0 | manual=0.0 | dLeft=11133.12890625 | dRight=11133.12890625 | signOpposed=false
100 | address=0x003B34B8 | kind=ARM_LEFT_CANDIDATE | score=8895.4255859375 | base=17659.6484375 | left=-68.7392578125 | right=0.0 | manual=17628.26953125 | dLeft=-17728.387695313 | dRight=-17659.6484375 | signOpposed=false
