frame,event,state,gate_enabled,attempt,memory_remaining,ready_count,result_elapsed,kill_confirm_count,screen_x,screen_x_copy,raw_horizontal,normalized,soldier_state_a,soldier_state_b,soldier_pointer_hex,arm_ready,raw_detected,normalized_detected,auto_aim_detected,pointer_dead,state_a_dead,state_b_dead,strong_kill,medium_kill,kill_candidate
46118,SAMPLE,COMPLETE,false,2,44,2,90,0,208.19081115723,208.19081115723,244.68803405762,-0.24771785736084,0,0,0x801FABDC,false,true,true,true,false,false,false,false,false,false
46120,SAMPLE,COMPLETE,false,2,44,2,90,0,208.53160095215,208.53160095215,246.35635375977,-0.2493953704834,0,0,0x801FABDC,false,true,true,true,false,false,false,false,false,false
46122,SAMPLE,COMPLETE,false,2,44,2,90,0,208.6242980957,208.6242980957,246.84417724609,-0.24982690811157,0,0,0x801FABDC,false,true,true,true,false,false,false,false,false,false
46124,SAMPLE,COMPLETE,false,2,44,2,90,0,208.74449157715,208.74449157715,247.45492553711,-0.25045013427734,0,0,0x801FABDC,false,true,true,true,false,false,false,false,false,false
46126,SAMPLE,COMPLETE,false,2,44,2,90,0,208.74449157715,208.74449157715,247.45492553711,-0.25045013427734,0,0,0x801FABDC,false,true,true,true,false,false,false,false,false,false
46128,SAMPLE,COMPLETE,false,2,44,2,90,0,208.96937561035,208.96937561035,248.5675201416,-0.25155258178711,0,0,0x801FABDC,false,true,true,true,false,false,false,false,false,false
46130,SAMPLE,COMPLETE,false,2,44,2,90,0,209.29512023926,209.29512023926,250.16586303711,-0.25313472747803,0,0,0x801FABDC,false,true,true,true,false,false,false,false,false,false
46132,SAMPLE,COMPLETE,false,2,44,2,90,0,196.45867919922,196.45867919922,187.81369018555,-0.18904209136963,0,0,0x801FABDC,false,true,true,true,false,false,false,false,false,false
46134,SAMPLE,COMPLETE,false,2,44,2,90,0,186.96484375,186.96484375,140.07643127441,-0.14057683944702,0,0,0x801FABDC,false,true,true,true,false,false,false,false,false,false
46136,SAMPLE,COMPLETE,false,2,44,2,90,0,179.94319152832,179.94319152832,104.08294677734,-0.10428810119629,0,0,0x801FABDC,false,true,true,true,false,false,false,false,false,false
46138,SAMPLE,COMPLETE,false,2,44,2,90,0,172.6849822998,172.6849822998,66.425872802734,-0.066417694091797,0,0,0x801FABDC,false,true,true,true,false,false,false,false,false,false
46140,SAMPLE,COMPLETE,false,2,44,2,90,0,169.38182067871,169.38182067871,49.179782867432,-0.049160003662109,0,0,0x801FABDC,false,true,true,true,false,false,false,false,false,false
46142,SAMPLE,COMPLETE,false,2,44,2,90,0,169.38182067871,169.38182067871,49.179782867432,-0.049160003662109,0,0,0x801FABDC,false,true,true,true,false,false,false,false,false,false
46144,SAMPLE,COMPLETE,false,2,44,2,90,0,166.93879699707,166.93879699707,36.39412689209,-0.036360740661621,0,0,0x801FABDC,false,true,true,true,false,false,false,false,false,false
